repo_name,creation_date,main_language,stars_count,merged_pr_count,release_version_count,last_modified_date,total_issue_count,closed_issue_count,issue_resolution_ratio,repository_age,days_since_last_modification
eShopOnContainers,2016-10-05T22:35:23Z,C#,24548,538,11,2024-08-22T16:07:34Z,1254,1208,0.9633173843700159,8,0
awesome-datascience,2014-07-05T07:07:43Z,Unknown,24523,348,9,2024-08-22T16:38:44Z,54,53,0.9814814814814815,10,0
envoy,2016-08-08T15:07:24Z,C++,24511,19784,171,2024-08-22T22:35:49Z,11496,9951,0.8656054279749478,8,-1
Mask_RCNN,2017-10-19T20:28:34Z,Python,24497,65,3,2024-08-22T21:34:10Z,2752,851,0.3092296511627907,7,-1
autocomplete,2020-09-29T02:21:06Z,TypeScript,24491,1515,1000,2024-08-22T20:57:03Z,515,379,0.7359223300970874,4,-1
CasaOS,2021-09-26T02:33:09Z,Go,24464,255,92,2024-08-22T22:32:43Z,1293,811,0.6272235112142305,3,-1
logrus,2013-10-16T19:08:55Z,Go,24447,404,19,2024-08-22T22:24:14Z,690,687,0.9956521739130435,11,-1
locust,2011-02-17T11:08:03Z,Python,24443,874,121,2024-08-22T21:44:26Z,1656,1638,0.9891304347826086,13,-1
k6,2016-03-21T15:30:24Z,Go,24397,1724,62,2024-08-22T22:49:06Z,1795,1436,0.8,8,-1
flameshot,2017-05-10T19:44:51Z,C++,24391,821,25,2024-08-22T17:39:14Z,2459,1830,0.7442049613664091,7,0
fyne,2018-02-04T22:07:16Z,Go,24348,1712,45,2024-08-22T21:26:02Z,2769,2126,0.7677862044059227,6,-1
vnpy,2015-03-02T03:36:58Z,Python,24312,1035,60,2024-08-22T18:22:34Z,2053,2046,0.9965903555772041,9,0
CLIP,2020-12-16T11:24:42Z,Jupyter Notebook,24301,28,0,2024-08-22T19:00:41Z,391,187,0.4782608695652174,4,0
RxSwift,2015-04-07T21:25:17Z,Swift,24297,790,74,2024-08-22T22:14:46Z,1252,1236,0.987220447284345,9,-1
Telegram,2013-10-25T14:08:10Z,Java,24293,20,93,2024-08-22T17:49:03Z,0,0,,11,0
celery,2009-04-24T11:31:24Z,Python,24286,2384,50,2024-08-22T19:41:34Z,5065,4416,0.8718657453109575,15,0
