name,url,ts_ignore,any,specific_types,qty_js_files,qty_ts_files,TLOC,JS_LOC,tsconfig_path,strict,strictNullChecks,strictBindCallApply,strictFunctionTypes,strictPropertyInitialization,noImplicitAny,noImplicitThis,alwaysStrict,releases,age,created_at,prev_year_commit,prev_year_ts_ignore,prev_year_any,prev_year_specific_types,prev_year_TLOC,prev_year_JS_LOC,prev_year_tsconfig_path,prev_year_strict,prev_year_strictNullChecks,prev_year_strictBindCallApply,prev_year_strictFunctionTypes,prev_year_strictPropertyInitialization,prev_year_noImplicitAny,prev_year_noImplicitThis,prev_year_alwaysStrict
clarity,https://github.com/vmware-archive/clarity,10,462,1520,122,1726,63089,5015,repos\clarity\tsconfig.json,0,0,0,1,0,1,1,1,165,8,2016-09-29T17:24:17Z,e27d743563e1843c880735a5b25426088144673b,10,441,1500,60558,4491,repos\clarity\tsconfig.json,0,0,0,1,0,1,1,1
css-blocks,https://github.com/linkedin/css-blocks,14,75,2202,206,656,47315,3649,repos\css-blocks\tsconfig.json,1,1,1,1,1,1,1,1,1,7,2017-04-13T23:44:11Z,c443fc0717d5f9e599e19ca388a3b9ec890d6e2f,14,75,2202,47315,3649,repos\css-blocks\tsconfig.json,1,1,1,1,1,1,1,1
dinero.js,https://github.com/dinerojs/dinero.js,0,4,73,78,670,8363,1414,repos\dinero.js\tsconfig.json,1,1,1,1,1,0,1,1,36,6,2018-03-10T23:56:04Z,b4cdbebbc143f07f1b83f82363cfeee9e02ee6de,0,4,73,8363,1414,repos\dinero.js\tsconfig.json,1,1,1,1,1,0,1,1
vscode-neovim,https://github.com/vscode-neovim/vscode-neovim,0,31,489,2,84,7218,66,repos\vscode-neovim\tsconfig.json,0,0,0,0,0,0,0,0,78,5,2019-10-31T00:46:23Z,a14ba15bc98f61fb0513d7a5360bc676cceaf1ea,0,21,384,6412,138,repos\vscode-neovim\tsconfig.json,0,0,0,0,0,0,0,0
modern-normalize,https://github.com/sindresorhus/modern-normalize,0,0,0,0,12,963,0,not_found,0,0,0,0,0,0,0,0,7,6,2018-02-08T05:31:02Z,c997a1e1d37aadbf9b6bc46ed396e7d9ebc8632f,0,0,0,1011,0,not_found,0,0,0,0,0,0,0,0
SandDance,https://github.com/microsoft/SandDance,16,243,8852,164,514,1159929,1122829,not_found,0,0,0,0,0,0,0,0,3,6,2018-11-05T22:45:31Z,7ac31e0df93252bb44c7630b06e0acfc11c0b45c,16,244,8819,1163486,1126633,not_found,0,0,0,0,0,0,0,0
openplayground,https://github.com/nat/openplayground,1,76,67,2,4,6063,40,not_found,0,0,0,0,0,0,0,0,0,1,2023-02-26T22:58:17Z,7f3f79035b3229aa471a9746d9af59035d5e71aa,1,76,67,6063,40,not_found,0,0,0,0,0,0,0,0
nextjs-notion-starter-kit,https://github.com/transitive-bullshit/nextjs-notion-starter-kit,0,6,160,2,48,2879,66,repos\nextjs-notion-starter-kit\tsconfig.json,0,0,0,0,0,0,0,0,0,3,2021-01-15T16:56:21Z,a6987daf426e9f7caf0d9de2887a5a1d78e939b0,0,5,158,2834,22,repos\nextjs-notion-starter-kit\tsconfig.json,0,0,0,0,0,0,0,0
qrbtf,https://github.com/latentcat/qrbtf,0,7,201,2,82,11690,6,repos\qrbtf\tsconfig.json,1,1,1,1,1,1,1,1,4,4,2020-05-01T04:29:10Z,,0,7,201,11690,6,repos\qrbtf\tsconfig.json,1,1,1,1,1,1,1,1
nteract,https://github.com/nteract/nteract,1,263,2096,30,570,37011,779,repos\nteract\tsconfig.json,0,0,0,0,0,0,0,0,66,9,2015-06-15T23:21:49Z,08715ad6ff0f3f522345328f946ab17b9f8750c0,1,263,2096,37011,779,repos\nteract\tsconfig.json,0,0,0,0,0,0,0,0
