request_number,response_time,response_size,language,per_page
217,0.2164287567138672,95,C++,17
218,0.2279059886932373,95,Java,42
219,0.2257838249206543,95,Go,62
220,0.21198105812072754,95,Go,94
221,0.2819039821624756,95,Swift,38
222,0.21996784210205078,95,Swift,37
223,0.2742171287536621,95,C++,26
224,0.2296161651611328,95,Kotlin,17
225,0.223801851272583,95,Ruby,37
226,0.24140119552612305,95,C++,76
227,0.2196030616760254,95,Python,40
228,0.2649500370025635,95,JavaScript,76
229,0.2213737964630127,95,Java,92
230,0.27720212936401367,95,Kotlin,53
231,0.21538424491882324,95,Python,35
232,0.2363448143005371,95,C++,98
233,0.24206304550170898,95,Swift,62
234,0.21990489959716797,95,Swift,25
235,0.22450995445251465,95,Java,93
236,0.2164452075958252,95,Swift,22
237,0.25652480125427246,95,Java,50
238,0.2230088710784912,95,Java,52
239,0.2482929229736328,95,Java,62
240,0.2320101261138916,95,Swift,5
241,0.24649715423583984,95,C++,96
242,0.22870802879333496,95,Ruby,97
243,0.2236928939819336,95,Kotlin,41
244,0.21363615989685059,95,JavaScript,87
245,0.21581792831420898,95,Python,22
246,0.23871898651123047,95,Java,20
247,0.21814608573913574,95,JavaScript,37
248,0.2464139461517334,95,Java,3
249,0.21222496032714844,95,Ruby,64
250,0.2906687259674072,95,Go,91
251,0.2197408676147461,95,Go,11
252,0.22181105613708496,95,Ruby,76
253,0.21346616744995117,95,Python,16
254,0.2268829345703125,95,JavaScript,76
255,0.22490811347961426,95,C++,47
256,0.22895169258117676,95,Swift,34
257,0.307528018951416,95,Kotlin,86
258,0.21896100044250488,95,C++,45
259,0.2276160717010498,95,Go,95
260,0.24935388565063477,95,Swift,96
261,0.23900580406188965,95,Python,46
262,0.22326898574829102,95,C++,6
263,0.22007989883422852,95,Ruby,63
264,0.238785982131958,95,C++,97
265,0.22197723388671875,95,Kotlin,44
266,0.24489712715148926,95,Go,33
267,0.2263469696044922,95,Java,26
268,0.5868091583251953,95,Python,10
269,0.2221689224243164,95,Kotlin,30
270,0.3189890384674072,95,Ruby,9
271,0.2987992763519287,95,Python,40
272,0.23270511627197266,95,Kotlin,14
273,0.22036409378051758,95,Kotlin,43
274,0.22490787506103516,95,JavaScript,80
275,0.21970891952514648,95,C++,17
276,0.22489285469055176,95,Python,75
277,0.22440218925476074,95,Swift,77
278,0.21677684783935547,95,JavaScript,25
279,0.24852609634399414,95,Go,96
280,0.23346519470214844,95,Kotlin,72
281,0.23727011680603027,95,Swift,7
282,0.21482396125793457,95,Swift,100
283,0.22196722030639648,95,Go,88
284,0.23097586631774902,95,Python,86
285,0.221297025680542,95,Go,30
286,0.2162621021270752,95,Python,82
287,0.2431328296661377,95,Ruby,84
288,0.26441383361816406,95,Ruby,50
289,0.3806142807006836,95,C++,7
290,0.2458789348602295,95,Python,56
291,0.2599470615386963,95,Go,35
292,0.22659516334533691,95,Swift,79
293,0.22552704811096191,95,Kotlin,92
294,0.22053027153015137,95,Python,19
295,0.2418050765991211,95,Python,25
296,0.2245190143585205,95,Kotlin,100
297,0.26097893714904785,95,Ruby,39
298,0.2196338176727295,95,Kotlin,93
299,0.24152803421020508,95,Python,92
300,0.24627184867858887,95,Ruby,56
301,0.2220292091369629,95,Swift,74
302,0.248884916305542,95,JavaScript,19
303,0.21698927879333496,95,Ruby,71
304,0.2178051471710205,95,Python,69
305,0.21820497512817383,95,Python,53
306,0.24486708641052246,95,Java,84
307,0.3465709686279297,95,Kotlin,25
308,0.24718189239501953,95,Ruby,15
309,0.2664327621459961,95,Python,60
310,0.22853398323059082,95,Swift,37
311,0.25627589225769043,95,JavaScript,42
312,0.2885451316833496,95,Ruby,92
313,0.21846294403076172,95,JavaScript,62
